PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20
Par,Ford Amateur DiscGolfPark (A1),Main,2021-05-29 14:25,56,,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,,
Henkka,Ford Amateur DiscGolfPark (A1),Main,2021-05-29 14:25,63,7,3,4,4,5,3,5,3,3,3,4,3,4,3,4,3,2,3,4,,
Antti,Ford Amateur DiscGolfPark (A1),Main,2021-05-29 14:25,58,2,3,3,3,3,2,4,3,3,3,3,4,3,4,4,3,4,3,3,,
Teemu,Ford Amateur DiscGolfPark (A1),Main,2021-05-29 14:25,73,17,3,4,4,4,3,6,4,3,4,3,4,5,5,5,4,5,4,3,,
Ile,Ford Amateur DiscGolfPark (A1),Main,2021-05-29 14:25,68,12,3,5,5,3,4,4,4,4,3,3,3,4,5,4,3,4,3,4,,
Par,Ford DiscGolfPark,Blue layout 2021,2020-06-22 17:41,59,,4,3,4,3,4,3,3,3,3,3,4,4,3,3,3,3,3,3,,
Kimmo,Ford DiscGolfPark,Blue layout 2021,2020-06-22 17:41,85,26,5,5,7,3,6,3,5,3,5,4,8,6,4,6,4,3,5,3,,
Emma,Ford DiscGolfPark,Blue layout 2021,2020-06-22 17:41,91,32,8,4,7,3,7,4,4,5,7,5,6,6,3,5,4,4,6,3,,
Saikkis,Ford DiscGolfPark,Blue layout 2021,2020-06-22 17:41,72,13,6,4,5,3,4,3,3,3,4,4,4,5,4,5,3,3,5,4,,
Jouni,Ford DiscGolfPark,Blue layout 2021,2020-06-22 17:41,73,14,6,5,4,3,5,3,5,5,4,3,4,4,3,6,4,3,4,2,,
Henkka,Ford DiscGolfPark,Blue layout 2021,2020-06-22 17:41,70,11,6,3,4,3,4,4,4,4,5,3,5,5,3,4,3,3,3,4,,
Teemu,Ford DiscGolfPark,Blue layout 2021,2020-06-22 17:41,89,30,6,3,7,4,5,3,5,4,5,4,6,7,5,5,5,5,5,5,,
Par,Ford DiscGolfPark,Blue layout 2021,2021-06-21 16:34,60,,4,3,4,3,4,3,3,4,3,3,4,4,3,3,3,3,3,3,,
Teemu,Ford DiscGolfPark,Blue layout 2021,2021-06-21 16:34,92,32,8,3,5,5,6,4,5,8,4,5,7,7,4,5,5,4,4,3,,
Antti,Ford DiscGolfPark,Blue layout 2021,2021-06-21 16:34,84,24,5,4,4,4,5,4,6,7,5,3,8,5,3,5,5,4,4,3,,
Henu,Ford DiscGolfPark,Blue layout 2021,2021-06-21 16:34,86,26,5,5,5,6,4,4,4,7,3,3,7,7,4,5,4,4,4,5,,
Sampo,Ford DiscGolfPark,Blue layout 2021,2021-06-21 16:34,89,29,5,5,6,4,6,4,5,5,4,6,5,7,6,4,4,4,5,4,,
Par,Herusten Frisbeegolfrata ,Uusi Layout 2019,2021-04-17 18:17,58,,3,3,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,4,,
Henkka,Herusten Frisbeegolfrata ,Uusi Layout 2019,2021-04-17 18:17,64,6,3,4,3,6,4,4,5,3,3,2,3,2,6,4,3,3,3,3,,
Henu,Herusten Frisbeegolfrata ,Uusi Layout 2019,2021-04-17 18:17,75,17,4,4,6,2,7,3,5,5,4,3,6,3,4,3,4,4,4,4,,
Teemu,Herusten Frisbeegolfrata ,Uusi Layout 2019,2021-04-17 18:17,71,13,4,3,4,4,4,3,6,4,3,4,6,3,5,3,4,3,3,5,,
Antti,Herusten Frisbeegolfrata ,Uusi Layout 2019,2021-04-17 18:17,58,0,3,3,3,2,3,3,5,4,3,3,4,3,4,3,3,3,2,4,,
Par,Jokipuiston Koulun DiscGolfPark,Main,2021-06-28 18:51,21,,3,3,3,3,3,3,3,,,,,,,,,,,,,
Jouni,Jokipuiston Koulun DiscGolfPark,Main,2021-06-28 18:51,19,-2,2,3,2,3,3,2,4,,,,,,,,,,,,,
Henkka,Jokipuiston Koulun DiscGolfPark,Main,2021-06-28 18:51,18,-3,3,3,2,2,3,2,3,,,,,,,,,,,,,
Teemu,Jokipuiston Koulun DiscGolfPark,Main,2021-06-28 18:51,21,0,2,5,3,3,3,2,3,,,,,,,,,,,,,
Saikkis,Jokipuiston Koulun DiscGolfPark,Main,2021-06-28 18:51,19,-2,3,3,2,3,3,3,2,,,,,,,,,,,,,
Par,Jokipuiston Koulun DiscGolfPark,Main,2021-06-28 19:26,21,,3,3,3,3,3,3,3,,,,,,,,,,,,,
Jouni,Jokipuiston Koulun DiscGolfPark,Main,2021-06-28 19:26,17,-4,2,3,2,2,3,3,2,,,,,,,,,,,,,
Henkka,Jokipuiston Koulun DiscGolfPark,Main,2021-06-28 19:26,18,-3,2,3,2,3,3,3,2,,,,,,,,,,,,,
Teemu,Jokipuiston Koulun DiscGolfPark,Main,2021-06-28 19:26,21,0,4,3,3,3,3,2,3,,,,,,,,,,,,,
Saikkis,Jokipuiston Koulun DiscGolfPark,Main,2021-06-28 19:26,21,0,3,3,3,3,3,3,3,,,,,,,,,,,,,
Par,Kartanonkoski MultiGolfPark,Main,2020-06-22 21:05,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Kimmo,Kartanonkoski MultiGolfPark,Main,2020-06-22 21:05,22,-5,2,2,2,3,3,2,2,2,4,,,,,,,,,,,
Emma,Kartanonkoski MultiGolfPark,Main,2020-06-22 21:05,26,-1,2,3,3,3,3,3,3,3,3,,,,,,,,,,,
Saikkis,Kartanonkoski MultiGolfPark,Main,2020-06-22 21:05,23,-4,3,3,3,2,2,2,3,2,3,,,,,,,,,,,
Jouni,Kartanonkoski MultiGolfPark,Main,2020-06-22 21:05,19,-8,2,3,2,2,2,2,2,2,2,,,,,,,,,,,
Henkka,Kartanonkoski MultiGolfPark,Main,2020-06-22 21:05,20,-7,3,2,2,2,2,2,2,2,3,,,,,,,,,,,
Teemu,Kartanonkoski MultiGolfPark,Main,2020-06-22 21:05,28,1,3,3,3,4,3,3,3,3,3,,,,,,,,,,,
Par,Kartanonkoski MultiGolfPark,Main,2020-06-22 21:46,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Kimmo,Kartanonkoski MultiGolfPark,Main,2020-06-22 21:46,25,-2,3,3,3,2,3,2,2,3,4,,,,,,,,,,,
Emma,Kartanonkoski MultiGolfPark,Main,2020-06-22 21:46,25,-2,3,3,3,2,2,3,3,3,3,,,,,,,,,,,
Saikkis,Kartanonkoski MultiGolfPark,Main,2020-06-22 21:46,28,1,3,3,4,3,3,3,3,2,4,,,,,,,,,,,
Jouni,Kartanonkoski MultiGolfPark,Main,2020-06-22 21:46,20,-7,2,2,2,3,2,2,3,2,2,,,,,,,,,,,
Henkka,Kartanonkoski MultiGolfPark,Main,2020-06-22 21:46,29,2,4,3,3,3,3,3,2,3,5,,,,,,,,,,,
Teemu,Kartanonkoski MultiGolfPark,Main,2020-06-22 21:46,26,-1,3,3,4,3,2,2,3,2,4,,,,,,,,,,,
Par,Keinukallio Discgolf,Main,2021-06-19 16:29,62,,4,3,3,3,4,3,3,3,3,3,4,3,4,5,3,4,3,4,,
Teemu,Keinukallio Discgolf,Main,2021-06-19 16:29,102,40,9,6,4,4,6,4,6,5,4,3,4,5,8,10,5,7,5,7,,
Par,Keinukallio Discgolf,Main,2021-06-24 15:56,62,,4,3,3,3,4,3,3,3,3,3,4,3,4,5,3,4,3,4,,
Teemu,Keinukallio Discgolf,Main,2021-06-24 15:56,95,33,7,4,4,3,8,5,7,5,4,3,7,4,7,9,3,6,3,6,,
Henkka,Keinukallio Discgolf,Main,2021-06-24 15:56,85,23,7,3,4,3,6,3,5,3,4,3,5,4,6,8,4,6,6,5,,
Sampo,Keinukallio Discgolf,Main,2021-06-24 15:56,100,38,11,4,3,4,6,4,6,7,4,4,5,3,7,9,3,7,6,7,,
Ile,Keinukallio Discgolf,Main,2021-06-24 15:56,104,42,14,8,5,4,6,3,5,4,4,4,7,4,6,10,4,7,4,5,,
Par,Kivikko Frisbeegolf Park,Main,2021-05-10 16:51,56,,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,,
Teemu,Kivikko Frisbeegolf Park,Main,2021-05-10 16:51,71,15,3,4,5,4,4,4,5,4,4,6,4,4,4,2,4,3,4,3,,
Henkka,Kivikko Frisbeegolf Park,Main,2021-05-10 16:51,60,4,4,4,2,3,4,5,4,4,3,3,3,3,4,3,2,3,3,3,,
Antti,Kivikko Frisbeegolf Park,Main,2021-05-10 16:51,62,6,3,4,3,3,3,5,4,3,3,4,3,5,4,3,4,2,3,3,,
Par,Kivikko Frisbeegolf Park,Main,2021-06-05 18:01,56,,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,,
Teemu,Kivikko Frisbeegolf Park,Main,2021-06-05 18:01,71,15,3,4,3,5,4,4,5,4,4,4,7,4,5,2,3,3,3,4,,
Antti,Kivikko Frisbeegolf Park,Main,2021-06-05 18:01,62,6,5,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,4,3,,
Par,Lentolan Frisbeegolf,Main,2021-06-15 15:07,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Lentolan Frisbeegolf,Main,2021-06-15 15:07,28,1,3,3,3,3,3,3,3,4,3,,,,,,,,,,,
Henkka,Lentolan Frisbeegolf,Main,2021-06-15 15:07,25,-2,2,4,3,3,3,2,3,3,2,,,,,,,,,,,
Ile,Lentolan Frisbeegolf,Main,2021-06-15 15:07,29,2,3,3,4,3,3,2,3,5,3,,,,,,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-06-15 16:00,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Henkka,Lentolan Frisbeegolf,Main,2021-06-15 16:00,24,-3,2,3,2,3,3,2,3,3,3,,,,,,,,,,,
Teemu,Lentolan Frisbeegolf,Main,2021-06-15 16:00,29,2,3,3,3,4,3,3,3,4,3,,,,,,,,,,,
Ile,Lentolan Frisbeegolf,Main,2021-06-15 16:00,30,3,3,5,4,3,3,3,3,3,3,,,,,,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-07-05 19:23,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Lentolan Frisbeegolf,Main,2021-07-05 19:23,28,1,3,3,3,4,4,2,2,4,3,,,,,,,,,,,
Kimmo,Lentolan Frisbeegolf,Main,2021-07-05 19:23,28,1,3,2,4,4,3,3,2,3,4,,,,,,,,,,,
Jouni,Lentolan Frisbeegolf,Main,2021-07-05 19:23,25,-2,3,2,3,2,4,3,3,2,3,,,,,,,,,,,
Kari,Lentolan Frisbeegolf,Main,2021-07-05 19:23,27,0,3,5,3,3,3,2,2,3,3,,,,,,,,,,,
Ile,Lentolan Frisbeegolf,Main,2021-07-05 19:23,29,2,3,4,3,4,3,2,3,3,4,,,,,,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-07-05 20:14,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Lentolan Frisbeegolf,Main,2021-07-05 20:14,29,2,3,3,5,3,3,2,3,4,3,,,,,,,,,,,
Jouni,Lentolan Frisbeegolf,Main,2021-07-05 20:14,25,-2,3,3,2,3,3,2,3,3,3,,,,,,,,,,,
Kari,Lentolan Frisbeegolf,Main,2021-07-05 20:14,28,1,3,3,4,3,4,3,3,3,2,,,,,,,,,,,
Ile,Lentolan Frisbeegolf,Main,2021-07-05 20:14,29,2,3,3,3,4,3,3,3,3,4,,,,,,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-07-05 21:12,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Lentolan Frisbeegolf,Main,2021-07-05 21:12,29,2,3,3,4,3,3,3,3,3,4,,,,,,,,,,,
Jouni,Lentolan Frisbeegolf,Main,2021-07-05 21:12,24,-3,2,3,2,3,3,3,3,3,2,,,,,,,,,,,
Kari,Lentolan Frisbeegolf,Main,2021-07-05 21:12,26,-1,3,3,3,3,3,2,2,3,4,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2019-08-16 19:56,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Kimmo,Malminiitty,Vakio layout,2019-08-16 19:56,32,5,2,3,3,3,6,3,4,4,4,,,,,,,,,,,
Emma,Malminiitty,Vakio layout,2019-08-16 19:56,35,8,3,3,4,4,4,4,5,4,4,,,,,,,,,,,
Jouni,Malminiitty,Vakio layout,2019-08-16 19:56,24,-3,3,3,2,2,3,3,3,3,2,,,,,,,,,,,
Saikkis,Malminiitty,Vakio layout,2019-08-16 19:56,25,-2,3,3,3,2,3,2,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2019-08-16 19:56,29,2,2,3,4,2,3,3,4,3,5,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2019-08-16 19:56,23,-4,2,2,2,2,3,3,3,3,3,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2019-08-16 22:11,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Kimmo,Malminiitty,Vakio layout,2019-08-16 22:11,28,1,3,3,4,3,3,3,4,2,3,,,,,,,,,,,
Emma,Malminiitty,Vakio layout,2019-08-16 22:11,36,9,4,4,5,4,4,4,4,3,4,,,,,,,,,,,
Jouni,Malminiitty,Vakio layout,2019-08-16 22:11,23,-4,2,3,2,3,2,3,3,3,2,,,,,,,,,,,
Saikkis,Malminiitty,Vakio layout,2019-08-16 22:11,28,1,3,3,3,3,4,4,3,2,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2019-08-16 22:11,24,-3,2,2,2,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2019-08-16 22:11,30,3,3,3,4,3,3,3,4,4,3,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-03-27 17:41,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Kimmo,Malminiitty,Vakio layout,2020-03-27 17:41,29,2,4,3,3,3,3,3,4,3,3,,,,,,,,,,,
Emma,Malminiitty,Vakio layout,2020-03-27 17:41,34,7,3,3,4,3,4,4,5,4,4,,,,,,,,,,,
Saikkis,Malminiitty,Vakio layout,2020-03-27 17:41,27,0,3,3,3,2,3,3,4,3,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-03-27 17:41,24,-3,3,2,2,3,3,3,3,2,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-03-27 17:41,30,3,3,2,3,4,2,5,3,5,3,,,,,,,,,,,
Saku,Malminiitty,Vakio layout,2020-03-27 17:41,31,4,3,3,4,3,3,3,4,3,5,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-03-27 18:37,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Kimmo,Malminiitty,Vakio layout,2020-03-27 18:37,35,8,4,3,4,3,4,4,5,3,5,,,,,,,,,,,
Emma,Malminiitty,Vakio layout,2020-03-27 18:37,37,10,4,3,3,3,5,4,5,6,4,,,,,,,,,,,
Saikkis,Malminiitty,Vakio layout,2020-03-27 18:37,28,1,4,3,4,3,2,3,3,3,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-03-27 18:37,25,-2,3,3,2,2,3,3,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-03-27 18:37,30,3,2,3,4,3,3,6,3,3,3,,,,,,,,,,,
Saku,Malminiitty,Vakio layout,2020-03-27 18:37,28,1,3,3,3,2,3,4,3,4,3,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-04-24 17:06,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-04-24 17:06,28,1,2,2,3,5,2,3,4,4,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-04-24 17:06,37,10,4,2,5,4,4,6,3,5,4,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2020-04-24 17:06,29,2,2,3,3,3,3,4,3,3,5,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-04-24 17:59,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-04-24 17:59,33,6,3,3,3,4,7,3,3,4,3,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2020-04-24 17:59,29,2,3,3,3,2,4,4,4,3,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-04-24 17:59,29,2,2,3,3,4,3,5,3,3,3,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-04-24 18:51,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-04-24 18:51,39,12,3,3,4,3,4,7,5,7,3,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2020-04-24 18:51,29,2,3,3,3,3,4,4,3,3,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-04-24 18:51,27,0,3,2,3,2,3,3,4,3,4,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-04-24 19:33,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Kimmo,Malminiitty,Vakio layout,2020-04-24 19:33,29,2,3,3,4,2,3,5,3,3,3,,,,,,,,,,,
Emma,Malminiitty,Vakio layout,2020-04-24 19:33,32,5,4,3,3,4,5,3,4,3,3,,,,,,,,,,,
Saikkis,Malminiitty,Vakio layout,2020-04-24 19:33,25,-2,2,3,4,2,3,3,3,2,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-04-24 19:33,26,-1,3,3,2,2,3,3,4,2,4,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-04-24 19:33,32,5,3,3,4,2,3,5,4,4,4,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-04-24 20:16,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Kimmo,Malminiitty,Vakio layout,2020-04-24 20:16,27,0,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Emma,Malminiitty,Vakio layout,2020-04-24 20:16,34,7,3,3,4,3,4,5,5,4,3,,,,,,,,,,,
Saikkis,Malminiitty,Vakio layout,2020-04-24 20:16,26,-1,2,2,3,3,3,3,3,4,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-04-24 20:16,25,-2,3,2,3,2,3,3,3,2,4,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-04-24 20:16,28,1,3,3,3,3,3,3,3,4,3,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-04-24 21:13,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-04-24 21:13,30,3,3,3,4,3,3,3,3,4,4,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2020-04-24 21:13,27,0,2,2,3,3,3,4,4,3,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-04-24 21:13,27,0,2,2,3,4,3,3,3,3,4,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-05-08 17:20,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-05-08 17:20,28,1,3,2,4,3,4,3,2,3,4,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2020-05-08 17:20,25,-2,3,2,3,3,2,3,3,3,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-05-08 17:20,24,-3,3,2,3,2,3,3,3,3,2,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-05-08 18:05,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-05-08 18:05,32,5,3,4,3,4,3,3,5,3,4,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2020-05-08 18:05,27,0,3,2,3,3,3,3,4,3,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-05-08 18:05,25,-2,2,3,2,3,2,3,4,3,3,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-05-08 19:10,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Kimmo,Malminiitty,Vakio layout,2020-05-08 19:10,27,0,3,3,3,3,2,4,3,2,4,,,,,,,,,,,
Emma,Malminiitty,Vakio layout,2020-05-08 19:10,31,4,4,3,4,3,3,4,3,3,4,,,,,,,,,,,
Saikkis,Malminiitty,Vakio layout,2020-05-08 19:10,26,-1,2,3,2,3,2,5,4,2,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-05-08 19:10,25,-2,3,3,2,2,5,3,3,2,2,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-05-08 19:10,30,3,4,3,3,2,3,3,4,3,5,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-05-08 20:01,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-05-08 20:01,32,5,2,3,4,3,5,5,3,3,4,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2020-05-08 20:01,28,1,3,5,3,3,2,4,3,2,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-05-08 20:01,28,1,3,3,3,3,3,4,3,4,2,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-05-08 20:53,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-05-08 20:53,39,12,6,3,5,5,4,3,4,4,5,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2020-05-08 20:53,27,0,3,2,4,2,4,3,3,3,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-05-08 20:53,32,5,3,3,4,5,4,4,3,3,3,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-05-23 16:07,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
